City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
107,Huarmey,PE,63.97,broken clouds,-10.07,-78.15,Hotel Miramar
108,San Cristobal,VE,66.96,broken clouds,7.77,-72.22,Pirineos
109,Beckley,US,62.6,clear sky,37.78,-81.19,"Country Inn & Suites by Radisson, Beckley, WV"
115,Kruisfontein,ZA,55.22,clear sky,-34.0,24.73,Oyster Bay House Rental
116,Ponta Do Sol,PT,62.6,light intensity shower rain,32.67,-17.1,Hotel do Campo
119,Castro,BR,59.67,few clouds,-24.79,-50.01,CHACARA BAILLY
123,Chuy,UY,58.51,overcast clouds,-33.7,-53.46,Nuevo Hotel Plaza
129,Ibipeba,BR,73.83,clear sky,-11.64,-42.01,Quitanda santos
130,Oudtshoorn,ZA,50.0,fog,-33.59,22.2,Earthbound Guest House
133,La Libertad,EC,71.6,broken clouds,-2.23,-80.9,Playa Canela Hotel Boutique
134,Nan,TH,73.4,broken clouds,18.83,100.67,นายนนท์ปวิช. อานุ
136,Badnawar,IN,69.8,haze,23.02,75.22,Hotel Mrityunjay
139,Tocopilla,CL,61.92,scattered clouds,-22.09,-70.2,Hotel Galvarino
140,Port Alfred,ZA,62.24,clear sky,-33.59,26.89,The Halyards Hotel
141,Maragogi,BR,76.15,clear sky,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
145,Cecina,IT,63.0,overcast clouds,43.31,10.52,Hotel Tornese
148,Goderich,CA,54.0,clear sky,43.75,-81.72,Harmony Inn
149,Leua,SK,50.0,clear sky,48.22,18.61,Business Hotel ASTRUM Laus
150,Lagoa,PT,62.62,overcast clouds,39.05,-27.98,Casa Das Faias
153,Padang,ID,75.81,light rain,-0.95,100.35,Mercure Padang
154,Portland,US,55.0,few clouds,45.52,-122.68,Portland Marriott City Center
157,Kaliua,TZ,70.63,light rain,-5.06,31.79,Millennium Complex
158,Valdez,EC,76.95,overcast clouds,1.25,-78.98,hotel Stefany
159,Mansfield,GB,52.0,overcast clouds,53.13,-1.2,Mansfield Lodge Hotel
160,Zhongshu,CN,53.08,clear sky,24.52,103.77,Xintianlong Hotel
161,Flinders,AU,73.0,broken clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
163,Inyonga,TZ,67.89,light rain,-6.72,32.07,Eden Rock Lodge
164,Touros,BR,77.0,broken clouds,-5.2,-35.46,INN NEW HORIZON
170,Margate,GB,55.99,clear sky,51.38,1.39,Premier Inn Margate hotel
171,Hambantota,LK,77.0,scattered clouds,6.12,81.12,Bungalow 63
173,Segou,ML,79.75,clear sky,13.43,-6.22,Comme chez soi
175,Axim,GH,77.14,scattered clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
176,Kerrville,US,77.0,clear sky,30.05,-99.14,Inn Of The Hills Hotel & Conference Center
177,Katsuura,JP,66.2,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
178,Yeppoon,AU,77.0,few clouds,-23.13,150.73,Villa Mar Colina
179,Shakawe,BW,71.6,clear sky,-18.37,21.85,Ditlhapi Guest House
181,Dubbo,AU,78.8,scattered clouds,-32.25,148.62,Comfort Inn Blue Lagoon
182,Mosquera,CO,60.8,scattered clouds,4.71,-74.23,Hotel SJ
184,Maneadero,MX,68.0,clear sky,31.72,-116.57,Casa De Thompson
187,Tumut,AU,70.43,clear sky,-35.3,148.22,Amaroo Motel
188,Vila Velha,BR,75.2,moderate rain,-20.33,-40.29,Hotel Vitória Palace
189,General Roca,AR,62.6,clear sky,-39.03,-67.58,Hotel El Recreo
190,Westport,US,64.99,clear sky,41.14,-73.36,The Westport Inn
191,Tonbridge,GB,55.0,clear sky,51.19,0.28,"Innkeeper's Collection Tunbridge Wells, Southborough"
192,Launceston,AU,60.01,overcast clouds,-41.45,147.17,Hotel Grand Chancellor Launceston
194,Liverpool,GB,51.8,scattered clouds,53.41,-2.98,Premier Inn Liverpool City Centre (Moorfields) hotel
196,Quelimane,MZ,70.75,clear sky,-17.88,36.89,Hotel Flamingo
197,Conde,BR,77.0,broken clouds,-7.26,-34.91,Pousada Beija Flor
198,Viedma,AR,55.0,overcast clouds,-40.81,-63.0,Hotel Cristal
199,Inhambane,MZ,71.38,clear sky,-23.86,35.38,Oceano
202,Ribeira Grande,PT,63.37,overcast clouds,38.52,-28.7,Quinta da Meia Eira
203,Lasa,IT,51.01,clear sky,46.62,10.7,Pension Feldgärtenhof
204,Sinnamary,GF,79.79,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
205,Marakkanam,IN,79.2,heavy intensity rain,12.2,79.95,OYO 73765 Ocean Breeze Guest House
210,Sale,MA,66.0,broken clouds,34.04,-6.82,Hôtel Mercure Rabat Sheherazade
211,Guerrero Negro,MX,69.1,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
212,Kahta,TR,66.2,clear sky,37.79,38.62,Kommagene Hotel
213,Pabbi,PK,62.6,haze,34.01,71.8,Naseem Qilla
216,Nemuro,JP,55.4,broken clouds,43.32,145.57,Hotel Nemuro Kaiyoutei
221,Saint-Philippe,RE,69.01,overcast clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
222,Sakaiminato,JP,60.8,light rain,35.55,133.23,味処・民宿 まつや
223,Saint-Francois,FR,61.0,overcast clouds,46.42,3.91,Manoir Du Bonheur
227,Myanaung,MM,75.72,clear sky,18.28,95.32,Taung Hlay Khar
229,Bengkulu,ID,77.61,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
230,Seoul,KR,60.8,overcast clouds,37.57,126.98,LOTTE HOTEL SEOUL
234,Carnarvon,AU,69.8,scattered clouds,-24.87,113.63,Hospitality Carnarvon
236,Southbridge,US,66.99,few clouds,42.08,-72.03,Southbridge Hotel & Conference Center
238,Palembang,ID,78.8,few clouds,-2.92,104.75,ASTON Palembang Hotel & Conference Center
239,Geraldton,AU,66.2,clear sky,-28.77,114.6,Broadwater Mariner Resort
242,Karwar,IN,75.74,overcast clouds,14.8,74.13,Netalco Connects
248,Coari,BR,72.86,moderate rain,-4.08,-63.14,HOTEL ALEX FLAT
250,Teluk Nibung,ID,75.58,moderate rain,3.0,99.82,PONDOK FELISHA JUICE
251,San Roque,ES,64.4,light rain,36.21,-5.38,Hotel Guadacorte Park
252,Iwanai,JP,62.46,scattered clouds,42.97,140.51,いわない高原ホテル
253,Kumluca,TR,67.14,clear sky,36.37,30.29,TurkuazKöy
254,Saint-Pierre,RE,69.01,broken clouds,-21.34,55.48,Lindsey Hôtel
255,Payo,ID,72.86,moderate rain,-3.75,103.64,Mess keban agung
256,Hirara,JP,77.0,light intensity shower rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
257,Lompoc,US,62.6,overcast clouds,34.64,-120.46,Holiday Inn Express Lompoc
260,General Pico,AR,52.7,overcast clouds,-35.66,-63.76,Hotel Malargue
261,Peniche,PT,57.99,clear sky,39.36,-9.38,Hotel Star inn Peniche
264,Mumford,GH,77.58,scattered clouds,5.26,-0.76,Spanish Villa
265,Areia Branca,BR,79.99,overcast clouds,-4.96,-37.14,Areia Branca Apart Hotel
266,Meulaboh,ID,78.84,overcast clouds,4.14,96.13,Kost Pria
268,Urucara,BR,77.85,light rain,-2.54,-57.76,Pousada Maria Bonita
269,Carlyle,US,57.0,light rain,38.61,-89.37,Centerstone Inn & Suites - Carlyle
270,Esna,EG,73.4,clear sky,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
271,Champerico,GT,75.2,thunderstorm with light rain,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
272,Bushehr,IR,76.42,clear sky,28.97,50.84,Yas Hotel
273,Dunedin,NZ,54.0,overcast clouds,-45.87,170.5,Scenic Hotel Southern Cross
276,Payakumbuh,ID,70.41,moderate rain,-0.22,100.63,OYO 3114 Homestay Dalimo
280,Serra Negra,BR,69.8,few clouds,-22.61,-46.7,Shelton Hotel
281,Port Lincoln,AU,61.34,light rain,-34.73,135.87,Port Lincoln Hotel
282,Tambura,SS,68.97,broken clouds,5.6,27.47,Guest hous Tambura
